GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2014,2014,2014,AFR,Africa,ZMB,Zambia,,,,85,85,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2007,2007,2007,AFR,Africa,ZMB,Zambia,,,,70000,70 000 [32 000-122 000],32000,122000
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2007,2007,2007,AFR,Africa,ZMB,Zambia,,,,50000,50 000 [21 000-90 000],21000,90000
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2017,2017,2017,AFR,Africa,ZMB,Zambia,,,,90,90,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2005,2005,2005,AFR,Africa,ZMB,Zambia,,,,57,57,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2007,2007,2007,AFR,Africa,ZMB,Zambia,,,,66,66 [38-150],38,150
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2013,2013,2013,AFR,Africa,ZMB,Zambia,,,,270,270 [149-426],149,426
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2007,2007,2007,AFR,Africa,ZMB,Zambia,,,,47,47,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2003,2003,2003,AFR,Africa,ZMB,Zambia,,,,78,78,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2007,2007,2007,AFR,Africa,ZMB,Zambia,,,,8.6,8.6,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2019,2019,2019,AFR,Africa,ZMB,Zambia,,,,29000,29 000 [19 000-41 000],19000,41000
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2006,2006,2006,AFR,Africa,ZMB,Zambia,,,,49000,49 000 [24 000-84 000],24000,84000
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2016,2016,2016,AFR,Africa,ZMB,Zambia,,,,64000,64 000 [39 000-94 000],39000,94000
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2005,2005,2005,AFR,Africa,ZMB,Zambia,,,,2,2,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2012,2012,2012,AFR,Africa,ZMB,Zambia,,,,87,87,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2005,2005,2005,AFR,Africa,ZMB,Zambia,,,,49000,49 000 [24 000-84 000],24000,84000
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2015,2015,2015,AFR,Africa,ZMB,Zambia,,,,60,60,,
TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-xdr-tb-cases,2018,2018,2018,AFR,Africa,ZMB,Zambia,,,,100,100,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2002,2002,2002,AFR,Africa,ZMB,Zambia,,,,54220,54 220,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2011,2011,2011,AFR,Africa,ZMB,Zambia,,,,69000,69 000 [36 000-112 000],36000,112000
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2020,2020,2020,AFR,Africa,ZMB,Zambia,,,,66,66 [46-100],46,100
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2001,2001,2001,AFR,Africa,ZMB,Zambia,,,,728,728 [243-1470],243,1470
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2008,2008,2008,AFR,Africa,ZMB,Zambia,,,,56,56,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2023,2023,2023,AFR,Africa,ZMB,Zambia,,,,403,403,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2011,2011,2011,AFR,Africa,ZMB,Zambia,,,,64,64,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2020,2020,2020,AFR,Africa,ZMB,Zambia,,,,88,88,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2019,2019,2019,AFR,Africa,ZMB,Zambia,,,,87,87,,
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2017,2017,2017,AFR,Africa,ZMB,Zambia,,,,76,76,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2002,2002,2002,AFR,Africa,ZMB,Zambia,,,,80,80,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2022,2022,2022,AFR,Africa,ZMB,Zambia,,,,32,32,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2016,2016,2016,AFR,Africa,ZMB,Zambia,,,,7.1,7.1,,
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2023,2023,2023,AFR,Africa,ZMB,Zambia,,,,97,97,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2010,2010,2010,AFR,Africa,ZMB,Zambia,,,,44154,44 154,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2016,2016,2016,AFR,Africa,ZMB,Zambia,,,,136,136,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2019,2019,2019,AFR,Africa,ZMB,Zambia,,,,97,97,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2004,2004,2004,AFR,Africa,ZMB,Zambia,,,,66,66,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2012,2012,2012,AFR,Africa,ZMB,Zambia,,,,97,97,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2022,2022,2022,AFR,Africa,ZMB,Zambia,,,,71,71,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2014,2014,2014,AFR,Africa,ZMB,Zambia,,,,406,406 [236-623],236,623
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2006,2006,2006,AFR,Africa,ZMB,Zambia,,,,77,77,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2017,2017,2017,AFR,Africa,ZMB,Zambia,,,,63000,63 000 [39 000-92 000],39000,92000
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2021,2021,2021,AFR,Africa,ZMB,Zambia,,,,83,83 [58-130],58,130
TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-xdr-tb-cases,2020,2020,2020,AFR,Africa,ZMB,Zambia,,,,67,67,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2006,2006,2006,AFR,Africa,ZMB,Zambia,,,,11,11,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2012,2012,2012,AFR,Africa,ZMB,Zambia,,,,68000,68 000 [36 000-109 000],36000,109000
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,1999,1999,1999,AFR,Africa,ZMB,Zambia,,,,72,72,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2018,2018,2018,AFR,Africa,ZMB,Zambia,,,,35071,35 071,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2020,2020,2020,AFR,Africa,ZMB,Zambia,,,,93,93,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2008,2008,2008,AFR,Africa,ZMB,Zambia,,,,80,80,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2018,2018,2018,AFR,Africa,ZMB,Zambia,,,,346,346 [221-500],221,500
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2018,2018,2018,AFR,Africa,ZMB,Zambia,,,,95,95,,
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2013,2013,2013,AFR,Africa,ZMB,Zambia,,,,33,33,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2015,2015,2015,AFR,Africa,ZMB,Zambia,,,,84,84,,
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2009,2009,2009,AFR,Africa,ZMB,Zambia,,,,42,42,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2013,2013,2013,AFR,Africa,ZMB,Zambia,,,,437,437 [242-690],242,690
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2007,2007,2007,AFR,Africa,ZMB,Zambia,,,,46320,46 320,,
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2019,2019,2019,AFR,Africa,ZMB,Zambia,,,,75,75,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2019,2019,2019,AFR,Africa,ZMB,Zambia,,,,515,515,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2001,2001,2001,AFR,Africa,ZMB,Zambia,,,,90,90,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2017,2017,2017,AFR,Africa,ZMB,Zambia,,,,361,361 [225-528],225,528
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2013,2013,2013,AFR,Africa,ZMB,Zambia,,,,42000,42 000 [23 000-66 000],23000,66000
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2017,2017,2017,AFR,Africa,ZMB,Zambia,,,,212,212 [132-310],132,310
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2019,2019,2019,AFR,Africa,ZMB,Zambia,,,,59,59 [41-90],41,90
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2020,2020,2020,AFR,Africa,ZMB,Zambia,,,,24000,24 000 [16 000-34 000],16000,34000
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2005,2005,2005,AFR,Africa,ZMB,Zambia,,,,602,602 [313-985],313,985
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2020,2020,2020,AFR,Africa,ZMB,Zambia,,,,40000,40 000,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2009,2009,2009,AFR,Africa,ZMB,Zambia,,,,347,347 [169-586],169,586
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2016,2016,2016,AFR,Africa,ZMB,Zambia,,,,0.36,0.36,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2023,2023,2023,AFR,Africa,ZMB,Zambia,,,,91,91 [55-135],55,135
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2023,2023,2023,AFR,Africa,ZMB,Zambia,,,,283,283 [173-420],173,420
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2023,2023,2023,AFR,Africa,ZMB,Zambia,,,,54346,54 346,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2010,2010,2010,AFR,Africa,ZMB,Zambia,,,,323,323 [163-537],163,537
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2021,2021,2021,AFR,Africa,ZMB,Zambia,,,,20000,20 000 [13 000-29 000],13000,29000
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2022,2022,2022,AFR,Africa,ZMB,Zambia,,,,363,363,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2022,2022,2022,AFR,Africa,ZMB,Zambia,,,,95,95 [59-138],59,138
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2022,2022,2022,AFR,Africa,ZMB,Zambia,,,,19000,19 000 [12 000-28 000],12000,28000
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2007,2007,2007,AFR,Africa,ZMB,Zambia,,,,41,41,,
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2018,2018,2018,AFR,Africa,ZMB,Zambia,,,,78,78,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2022,2022,2022,AFR,Africa,ZMB,Zambia,,,,362,362,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2021,2021,2021,AFR,Africa,ZMB,Zambia,,,,50075,50 075,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2015,2015,2015,AFR,Africa,ZMB,Zambia,,,,196,196,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2016,2016,2016,AFR,Africa,ZMB,Zambia,,,,38326,38 326,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2004,2004,2004,AFR,Africa,ZMB,Zambia,,,,438,438 [227-717],227,717
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2020,2020,2020,AFR,Africa,ZMB,Zambia,,,,484,484,,
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2012,2012,2012,AFR,Africa,ZMB,Zambia,,,,60,60,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2015,2015,2015,AFR,Africa,ZMB,Zambia,,,,95,95,,
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2022,2022,2022,AFR,Africa,ZMB,Zambia,,,,97,97,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2014,2014,2014,AFR,Africa,ZMB,Zambia,,,,37931,37 931,,
TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-mdr-rr-tb-incident-cases,2015,2015,2015,AFR,Africa,ZMB,Zambia,,,,1900,1900 [890-2800],890,2800
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2016,2016,2016,AFR,Africa,ZMB,Zambia,,,,93,93,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2009,2009,2009,AFR,Africa,ZMB,Zambia,,,,33,33,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2015,2015,2015,AFR,Africa,ZMB,Zambia,,,,36741,36 741,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2023,2023,2023,AFR,Africa,ZMB,Zambia,,,,32,32,,
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2008,2008,2008,AFR,Africa,ZMB,Zambia,,,,41,41,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2014,2014,2014,AFR,Africa,ZMB,Zambia,,,,65000,65 000 [37 000-99 000],37000,99000
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2006,2006,2006,AFR,Africa,ZMB,Zambia,,,,47790,47 790,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2012,2012,2012,AFR,Africa,ZMB,Zambia,,,,280,280 [150-450],150,450
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2012,2012,2012,AFR,Africa,ZMB,Zambia,,,,60,60 [37-110],37,110
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2019,2019,2019,AFR,Africa,ZMB,Zambia,,,,41,41,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2013,2013,2013,AFR,Africa,ZMB,Zambia,,,,62,62,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2009,2009,2009,AFR,Africa,ZMB,Zambia,,,,44879,44 879,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2019,2019,2019,AFR,Africa,ZMB,Zambia,,,,96,96,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2018,2018,2018,AFR,Africa,ZMB,Zambia,,,,54,54,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2010,2010,2010,AFR,Africa,ZMB,Zambia,,,,69000,69 000 [35 000-115 000],35000,115000
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2004,2004,2004,AFR,Africa,ZMB,Zambia,,,,1.3,1.3,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2021,2021,2021,AFR,Africa,ZMB,Zambia,,,,431,431,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2020,2020,2020,AFR,Africa,ZMB,Zambia,,,,88,88,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2000,2000,2000,AFR,Africa,ZMB,Zambia,,,,67,67,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2008,2008,2008,AFR,Africa,ZMB,Zambia,,,,70000,70 000 [33 000-120 000],33000,120000
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2017,2017,2017,AFR,Africa,ZMB,Zambia,,,,83,83,,
